"gene_id"	"RNA.seq.sample2"	"RNA.seq.sample1"
"ENSG00000227232.5"	2.28946204593431	2.13406116993506
"ENSG00000238009.6"	0.0281866888211398	0.0538932682468576
"ENSG00000241860.6"	0.14324808890865	0.0805657434048824
"ENSG00000228463.9"	0.219430279038505	0.173749017206932
"ENSG00000236679.2"	0.406272214379784	0.909567161733672
"ENSG00000237094.7"	0.00793503375786468	0.028373365600342
"ENSG00000230021.8"	0.250402192658533	0.336003628985466
"ENSG00000235146.2"	0.0739780107914376	0.066769972655916
"ENSG00000225630.1"	0.443435827038833	0.404860855650683
"ENSG00000237973.1"	3.3691815560199	3.351363341132
"ENSG00000229344.1"	1.30387004047872	1.31484237535067
"ENSG00000248527.1"	0.940664691094245	0.581732426464793
"ENSG00000198744.5"	7.09060813329109	7.09507013833967
"ENSG00000237491.8"	0.775970122377515	1.26935476752838
"ENSG00000177757.2"	0.731074567585053	0.693258475050039
"ENSG00000228794.8"	2.6325215011016	2.56777951567097
"ENSG00000272438.1"	2.99819121790035	2.82798343353358
"ENSG00000223764.2"	4.29341956520336	4.33510204634588
"ENSG00000187634.10"	3.94628018090014	3.91833786526059
"ENSG00000188976.10"	6.03620384277654	5.97437630756358
"ENSG00000187961.13"	4.62968806139872	4.41569418561557
"ENSG00000187583.10"	3.50059554643719	3.50366484874769
"ENSG00000187642.9"	0.503876901689739	0.135108976596864
"ENSG00000272512.1"	4.20233092159187	3.44497052137011
"ENSG00000188290.10"	4.34602174715468	4.20596978787439
"ENSG00000187608.8"	5.56007005454182	5.7779782770086
"ENSG00000231702.2"	0.858492412677836	1.67635975244727
"ENSG00000224969.1"	0.143543415064733	1.18363695981495
"ENSG00000188157.13"	6.00988332366231	6.00506621997774
"ENSG00000217801.9"	2.94042154258167	2.50014054577963
"ENSG00000273443.1"	2.19882932751169	0.833644690225068
"ENSG00000237330.2"	0.153687715420964	0.0712145383678362
"ENSG00000131591.17"	3.94337991804433	3.67618855632846
"ENSG00000205231.1"	0.0545435176188075	0.0370540406734905
"ENSG00000162571.13"	0.0149447767452133	0.0301139435196851
"ENSG00000186891.13"	0.160903932829466	0.456051355503052
"ENSG00000186827.10"	0.48609181671119	0.084222834756409
"ENSG00000078808.16"	5.85937884212795	5.68103302718743
"ENSG00000176022.4"	5.69292676957085	5.63918773078777
"ENSG00000184163.3"	1.26625641478426	1.04792188672728
"ENSG00000260179.1"	1.8367297071003	1.50853338525408
"ENSG00000160087.20"	4.66656570675187	4.37967999633263
"ENSG00000230415.1"	2.61620236266595	2.70722655758033
"ENSG00000162572.19"	3.08122411290405	2.89381597915025
"ENSG00000131584.18"	4.91450991841819	4.82613767555744
"ENSG00000169972.11"	4.39543951750442	4.54815902749755
"ENSG00000127054.18"	5.54465722545101	5.25489015133901
"ENSG00000224051.6"	4.52415313785304	4.51881204270494
"ENSG00000169962.4"	0.427573561628892	0.551748874374823
"ENSG00000107404.17"	5.17136774314495	5.11692208270625
"ENSG00000162576.16"	6.4682969200821	6.38463279545186
"ENSG00000175756.13"	7.11512593836345	7.07643882654471
"ENSG00000221978.11"	6.2978181159777	6.13452801188684
"ENSG00000224870.6"	4.97501107238669	5.03026556313987
"ENSG00000242485.5"	5.01217733843678	4.87176825378128
"ENSG00000272455.1"	3.53687673784973	3.88444727933177
"ENSG00000215915.9"	0.0262367710660043	0.0583944183101603
"ENSG00000160072.19"	4.18312743803344	3.97504336100408
"ENSG00000197785.13"	3.94609731098464	3.83377987142336
"ENSG00000205090.8"	2.77779105512424	2.54503562578451
"ENSG00000160075.11"	4.4459813240518	4.30350077896663
