set_name	primary_diagnosis	gsva_score	sd	up_down
peaksSet4_all_nearest_gene.bed	cell_line1	0.0293924357099591	0.000822169726496115	red
peaksSet4_all_nearest_gene.bed	cell_line2	0.0160543999013275	0.000994427852112162	red
peaksSet5_all_nearest_gene.bed	cell_line1	0.103118025403475	0.00132337088175564	red
peaksSet5_all_nearest_gene.bed	cell_line2	0.212466878740692	0.00525396491501123	red
peaksSet1_all_nearest_gene.bed	cell_line1	0.126361761718345	0.00142727407731678	red
peaksSet1_all_nearest_gene.bed	cell_line2	0.167517346518785	0.00190779025051146	red
peaksSet2_all_nearest_gene.bed	cell_line1	0.255469550384588	0.00805593190118481	red
peaksSet2_all_nearest_gene.bed	cell_line2	0.382837875357792	0.00271456614023621	red
peaksSet3_all_nearest_gene.bed	cell_line1	0.143625617094132	0.00221230044880117	red
peaksSet3_all_nearest_gene.bed	cell_line2	0.234643120640793	0.00372763944673679	red
ABBUD_LIF_SIGNALING_1_DN	cell_line1	0.0303255991875591	0.0039441325536297	red
ABBUD_LIF_SIGNALING_1_DN	cell_line2	0.142555088192145	0.00668412921652083	red
ABBUD_LIF_SIGNALING_1_UP	cell_line1	0.0517932325005837	0.0159587685061009	red
ABBUD_LIF_SIGNALING_1_UP	cell_line2	0.232016095835507	0.00166533493329893	red
ABBUD_LIF_SIGNALING_2_DN	cell_line1	-0.032576800450961	0.0357532764434702	blue
ABBUD_LIF_SIGNALING_2_DN	cell_line2	-0.0837042342268715	0.00804834782981052	blue
ABBUD_LIF_SIGNALING_2_UP	cell_line1	0.0697394363313075	0.00382928420315633	red
ABBUD_LIF_SIGNALING_2_UP	cell_line2	0.132294052493701	0.00237286876519317	red
ABDELMOHSEN_ELAVL4_TARGETS	cell_line1	0.128710207949637	0.000883407947666479	red
ABDELMOHSEN_ELAVL4_TARGETS	cell_line2	0.150515243289506	0.00841309892207007	red
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	cell_line1	-0.0139470938646817	0.00173217512816295	blue
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	cell_line2	0.00970694593854737	0.00256584038410305	red
ABE_INNER_EAR	cell_line1	0.194544388043326	0.00122362422322447	red
ABE_INNER_EAR	cell_line2	0.227620999473856	0.000126426153143974	red
ABE_VEGFA_TARGETS	cell_line1	0.016401367342854	0.01030467888295	red
ABE_VEGFA_TARGETS	cell_line2	-0.00514379041391351	0.00373828637647343	blue
ABE_VEGFA_TARGETS_2HR	cell_line1	0.163383190704553	0.0021027967028209	red
ABE_VEGFA_TARGETS_2HR	cell_line2	0.179679667574604	0.00696172287008908	red
ABE_VEGFA_TARGETS_30MIN	cell_line1	0.0768734573066025	0.000815163267547474	red
ABE_VEGFA_TARGETS_30MIN	cell_line2	0.0777506364223575	0.00358262411545551	red
